Songs,Artists,singer,lyrics,music
Teri Mohabbat Ne Dil,Jitendra,"AlkaYagnik,KumarSanu",SurenderSaathi,Nadeem
Tere Bin - Video Song,Bas Ek Pal,AtifAslam,SayeedQuadri,Mithoon
Yeh Sheher Hai Aman Ka,Bipasha Basu,"Suzzan,JollyMukherjee,BaliBrahmbhatt",Sameer,NadeemShravan
Tu Itni Pagli,Kisna,"UditNarayan,AlkaYagnik",JavedAkhtar,IsmailDarbar
"Loveshhuda Official Trailer - Girish Kumar, Navneet Dhillon",Latest Bollywood Movie,"AtifAslam,VishalDadlani,GippyGrewal,Parichay,NehaKakkar,TeeshaNigam","SayeedQuadri,Kumaar,ManojYadav,Parichay,YuvrajGoel(TheGunsmith)","Mithoon,Parichay"
Chunnari Chunnari,Salman Khan,Abhijeet&AnuradhaSriram,Sameer,AnuMalik
90s Popular Song: Telephone Dhoon Mein,Hindustani,"Hariharan,KavitaKrishnamurthy",P.K.Mishra,A.R.Rahman
Veerey Di Wedding Full Video - Entertainment,"Akshay Kumar, Tamannaah",MikaSingh,"MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
Kitna Pyaara Hai Yeh Chehra,Bipasha Basu,AlkaYagnik&UditNarayan,Sameer,NadeemShravan
Pagg Wala Munda - Video Song,Ambarsariya,"DiljitDosanjh,TarannumMalik",HappyRaikoti&DeepArraicha,JatinderShah
Johnny Johnny Full Video - Entertainment,Akshay Kumar and Tamannaah,"Jigar,PriyaPanchal&MadhavKrishna","MayurPuri,PriyaPanchal&AshishPandit",SachinJigar
Pyar De Pyar Le Official Song Video - Genius,"Utkarsh, Nawaz","DevNegi,IkkaandIuliaVantur","Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
Kala Joda - Bhangra Paa Le,"Sunny,Rukshar",Romy&ShalmaliKholgade,"ShlokeLal,SiddhantKaushal,MandyGill,A",AkashdeepSenguptaforJam8
Mat Kar Tu Abhiman,Anup Jalota,AnupJalota,AnupJalota,AshokSharma
Tujhse Kahan Juda Hoon Main Full Video- Genius,"Utkarsh, Ishita","HimeshReshammiya,NeetiMohan,VineetSingh","Kumaar,ManojMuntashir&ShabbirAhmed",HimeshReshammiya
