Songs,Artists,singer,lyrics,music
NAZAR LAG JAYEGI,"Kamal Raja,Millind Gaba",MilindGaba & KamalRaja,"Ikrar,MillindGaba",MusicMG
Bholeynath ,"Millind Gaba, Ikka, Pallavi Gaba ","MillindGaba,Ikka,PallaviGaba",Ikka,MillindGaba
Dil Dooba,"Aishwarya Rai, Akshaye Kumar","SonuNigam,ShreyaGhoshal",Sameer,RamSampat
Laal Dupatta,Mika Singh and Anupama Raag,MikaSingh&AnupamaRaag,AnupamaRaag,AnupamaRaag
Deedar De,Abhishek Bacchan,"SunidhiChauhan,Krishna",PanchhiJalonvi,"VishalDadlani,ShekharRavjiani"
Tere Naam Video Song,Zack Knight,ZackKnight,ZackKnight,ZackKnight
Meri Baari Song,Millind Gaba ,MillindGaba,MillindGaba,MusicMG
Ek Jindari Full Video Song,Hindi Medium,"SugandhaDate,KarishmaButia,StiphenGhorpade,PrateekMane,AryaMahale,AnicaChabra.",Kumaar,Sachin
Pitah Se Naam Hai Tera,Akshay Kumar,"SONUNIGAM,MEETBROSANJJAN,ALAPS",KUMAAR,MEETBROSANJJAN
Hoor Video Song,Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Kaise Mujhe Tum Video Song,Mohammed Irfan,MohammedIrfan,PrasoonJoshi,A.R.Rahman
Kisko Pata Video Song,Yash Wadali,YashWadali,RamanKumarJangwal,YashWadali
Hoor Song (Full Video),Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Ek Jindari Video Song,Hindi Medium,"SugandhaDate,KarishmaButia,StiphenGhorpade,PrateekMane,AryaMahale,AnicaChabra.",Kumaar,Sachin
Sye Raa Title Video Song (Hindi),Chiranjeevi,"RajivSundaresan,ArunKamath,SuhasSawant,RishikeshKamerkar,DeeptiRege,PragatiJoshi,ArohiMhatre&,AditiPrabhudesai",SwanandKirkire,AmitTrivedi
Pinky Zanjeer  Movie Song (Hindi),"Priyanka Chopra, Ram Charan,",MamtaSharmaandMeetBrosAnjjan,"ShabbirAhmed,AshrafAli.",MeetBrosAnjjan
Dil Dola Re - Remix  Video Song,Angry Indian Goddesses,PRATICHEEMOHAPATRA,DR.SWAPNILSALKAR,ASHISHPRABHUAJGAONKAR
Tere Naam Lyrical  Video Song,Zack Knight,ZackKnight,ZackKnight,ZackKnight
Ho Jaye Balle Balle,Ravinder Bhinder,RavinderBhinder,RavinderBhinder,SherAzad
Des Mera,Indian Ocean,IndianOcean,"SanjeevSharma,SwanandKirkire",IndianOcean
Bandeya (Full Video Song) Mir,Zenif,Mir,Zenif,Zenif
Khayalan Wich (Full Song),I - Proud To Be An Indian,Rithika,"JayVerma,LateHarcharan",K.C.LOY
Dil Dola Re  Full Song (Audio),Angry Indian Goddesses,PRATICHEEMOHAPATRA,DR.SWAPNILSALKAR,ASHISHPRABHUAJGAONKAR
Zanjeer Movie Songs Preview (Hindi),"Priyanka Chopra, Ram Charan, Sanjay Dutt","SHWETAPANDIT,MEETBROSANJJAN",SHABBIRAHMED,MEETBROSANJJAN
Dil Dola Re - Remix ,Angry Indian Goddesses,PRATICHEEMOHAPATRA,DR.SWAPNILSALKAR,ASHISHPRABHUAJGAONKAR
Roi Na,Vicky Singh,Ninja,Nirmaan,Goldboy
Aatif Vs. Arijit Mashup Cover,Sachin Chaudhary,ArijitSingh,MohdIrfanArjitSalimBhat,SachinGupta
GHAATI TRANCE Video Song,"Jaspreet Jasz,Sonu Kakkar","JASPREETJASZ,SONUKAKKAR","SACHINGUPTA,JASPREETJASZ",SACHINGUPTA
Gangleader - Gang-u Leader Promotional Video,Nani,"SriKrishnaVishnubhotla,AdityaIyengar",AnantaSriram,AnirudhRavichander
Kya Mujhe Pyaar Hai,Umair Ahmad,KK,NileshMishra,PritamChakraborty
Koi Aaye Na ,Rabba B Praak ,RichaSharma,"Kumaar,DevKohli",Vishal&Shekhar
Megha Re Megha ,"Shahid Kapoor, Amrita Rao","UditNarayan,AlkaYagnik",SudhakarSharma,VijuShah
Cinderella (Full Song) ,Anushka Gupta,AnushkaGupta,AnushkaGupta,AnushkaGupta
Khuda Ke Liye Song,Deepal Shaw,MustafaZahid,ShabbirAhmed,ShamirTandon
Heart Broken Mashup,Soham Nagchowdhury,SohamNagchowdhury,SayeedQuadri,Mithoon
Kalesh Song,"Millind Gaba, Mika Singh","MillindGaba,MikaSingh",MillindGaba,MusicMG
Ishq Asaan Hai,Irfan Khan,DalerMehndi,AnandRajAnand,AnandRajAnand
Penne Thirumudi Video Song,Mamangam (Hindi),"UnniElayaraja,MidhunAshok","RafeeqAhmed,AjayGopal",MJayachandran
The Big Bull (Full Song) ,"Carryminati, Abhishek Bachchan",CarryMinati(AjeyNagar),CarryMinati(AjeyNagar),WilyFrenzy
Teri Meri Zindagi Song,"Pran, Rohit Roy",SureshWadkar,Sameer,"DilipSen,SameerSen"
Aashayein - Motivational Music Video,Cover Song By Sandeep Maheshwari,"Sur,ArjunGulati,SameerArmaan",IrfanSiddiqui,SalimMerchantandSulaimanMerchant(Salim
Main Chali : (Lyrics Video),Urvashi Kiran sharma,UrvashiKiranSharma,UrvashiKiranSharma,2019
Letâ€™s Celebrate (Unedited Video Song),Tevar,ImranKhan&SonakshiSinha,ImranKhan,ImranKhan
Pyar Wali Sargam,Pran,"UditNarayan,AdityaNarayan,NirjaPandit",Sameer,"DilipSen,SameerSen"
Banna Re,Mellow D,"MellowD,ManeshaAAgarwal&BunduKhan",ManeshaAAgarwal&MellowD,SushantShankar
Galat (Official Video) ,"Rubina Dilaik, Paras Chhabra",AseesKaur,RajFatehpur,Vikas
Jeene Ka  Hindi Contract,Sakshi Gulati,"RaviShankar,RunaRizvi",PrashantPandey,AmarMohile
Dekho Aaya Pehlwaan - Theme Lyrical,Pehlwaan - Hindi,"DevNegi,VyasaRaj",AsthaJagiasi,ArjunJanya
Barso Re,Dola Re,BoleChudiyanMovie,BoleChudiyanMovie,BoleChudiyanMovie
Suit Suit Full Audio Song,Hindi Medium,GuruRandhawaFt.Arjun,GuruRandhawaandArjun,Intense
Jot Se Jot Jagake Chalo,Sant Gyaneshwar,Mukesh,BharatVyas,LaxmikantPyarelal
Thani Oruvan - Theemai Dhaan Vellum Song Promo,"Jayam Ravi, Arvind Swamy",ArvindSwamy&HiphopTamizha,HiphopTamizha,HiphopTamizha
Tohfe (Full Song) Amii,Narend Singh Rajput,Amii,SainiVikrant,NarendSinghRajput
LAILA - Tony Kakkar ft. Heli Daruwala,Satti Dhillon,TonyKakkar,TonyKakkar,TonyKakkar
Main To Preetam Ko [Full Song] GudGudee Hindi Movie,Anupam Kher,KavitaKrishnamurthy,BasuChatterji,BappiLahiri
Lullaby (Lori) Song - Mamangam (Hindi),Mammootty,BombayJayasree,ManojYadav,MJayachandran
Hoor Lyrical Video Song,Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Na Ghar Ke Na Ghaat Ke,"Hindi Movie Promo [2010] Om Puri, Paresh Rawal",SukhwinderSingh,MudassarAziz,LalitPandit
Karun Main Sajda Tera Latest Hindi Movie Jai Chhathi Maa,Shankar Sahney,ShankarSahney,AmitabhRanjan,NayanManiBarman
"Hum Tum (Official Video) Sukriti, Prakriti","Raghav Juyal, Priyank Sharma",SukritiKakar&PrakritiKakar,LilLuv,"SukritiKakar,PrakritiKakar&LostStories"
Pariyon Si Hindi Video Song,Sardaar Gabbar Singh,RaviChowdhury&ShwetaPandit,RaqueebAlam,DeviSriPrasad
Rang Rasiya Video Song Latest Hindi Film,Turning Point,"PalakMuchhal,JavedAli",KiritPatel,Shivram
Laal Dupatta Full Audio Song,Mika Singh and Anupama Raag,MikaSingh&AnupamaRaag,AnupamaRaag,AnupamaRaag
Salaam Walekum Full Video Song,Adnan Sami,AdnanSami,Sameer,AdnanSami
Veer Veer Veerappan Song Making - Veerappan,Hindi Movie 2016,Shaarib&Toshifeat.PayalDevAndVee,ManojYadav,"JohnStewart,Eduri"
Nainowale Ne,NEETI MOHAN,NeetiMohan,Siddharth,SanjayLeelaBhansali
"Baarish (Official Video) Payal Dev,Stebin Ben","Mohsin Khan, Shivangi Joshi",PayalDev&StebinBen,KunaalVermaa,PayalDev
Soni De Nakhre,Soni De Nakhre Dj Remix,"Wajid,LabhJajua,SnehaPant",ShabbirAhmed,"Sajid,Wajid"
"Mafiyaan (Official Video) - Sukriti Kakar, Prakriti Kakar",MellowD & MJ5,"SukritiKakar,PrakritiKakar",MellowD,"Akull,PrakritiKakar&SukritiKakar"
Zabt E Dil,Tapeshvar Kalia,TapeshvarKalia,TapeshvarKalia,TapeshvarKalia
Dil Mangdi Lyrical,Jasbir Jassi,JasbirJassi&AneeshaMadhok,JasbirJassi,SimbaSing&JerrySingh
Kalesh Song With Lyrics,"Millind Gaba, Mika Singh","MillindGaba,MikaSingh",MillindGaba,MusicMG
O Mother Mary,Full Song Hindi Movie   Bachpan (1970),LataMangeshkar,AnandBakshi,"LaxmikantShantaramKudalkar(LaxmikantPyarelal),PyarelalRamprasadSharma(LaxmikantPyarelal)"
Vaibhav Kundra: Pyaar Ho Gaya Full Song,Latest Hindi Songs 2019,VaibhavKundra,RahulRBG,DJUpsideDown
Naina Bawre Hindi Lyrical Video Song Shweta Feat. Niharika Tariq,T-Series,Shweta,"DharmendraEhsaas,GautamSingh",DharmendraBhadouriya
FULL AUDIO - O SANAM,Latest Hindi Song 2019,RISHUBABU,RAJESHSARANPURI,PANKAJ
Aankhon Se Latest Hindi Song Full (Audio),Amit Tomer New Hindi Song 2019,AmitTomer,AmitTomer,JaxJay
Haq Hai,Budh,"NiranjanaTChandra,DeepaliDubeyandSonaliDubey",PrashantIngole,ShreyasPuranik
Better Half (Full Video),Bilal Saeed,BilalSaeed&SanaZulfiqar,AdnanDhool,Soch
Baadshah Video Song,Pratyul Joshi,"Karan,Karan'SFriend,Aditi,Esha,Priyanka",PratyulJoshi,PratyulJoshi
Sweety Tera Drama,Movie Bareilly Ki Barfi,"DevNegi,PawniPandey&ShraddhaPandit",ShabbirAhmed,TanishkBagchi
"La Fanaa  Latest Video Song Aamir Shaikh, Aavya Gupta New Hindi Video Song 2019",T-Series,"AamirShaikh,AavyaGupta",ShaheenKhan,FaraazAhmed
Colour Colour Latest Hindi Full (Audio) Song,Vicky Vox,VickyVox,A.Mukesh,AshishSharma&VivekSharma
"Suryashtakam, Suryaashtakam",ANURADHA PAUDWAL I Surya Upasana,AnuradhaPaudwal,"BharatAcharya,PanditKiranMishra","ArunPaudwal,KirtiAnurag"
Khwab Jo  Hindi Film London Dreams ,"Ajay Devgan, Salman Khan","RahatFatehAliKhan,ShankarMahadevan",PrasoonJoshi,Shankar
O Sathi - Baaghi 2,Atif Aslam,AtifAslam,Baaghi2|AtifAslam|TigerShroff|DishaPatani|HindiVideoSong,ArkoPravoMukherjee
Hoor Full Audio Song,Hindi Medium,"DawnCordo,ArunKamath,ShambhaviSingh.",PriyaSaraiya,Sachin
Tera Yaar Hoon Main / Tere Jaisa Yaar Kahan - Hindi Cover Songs 2019,Friendship Song,KISHOREKUMAR,ANJAAN,RAJESHROSHAN
"Dilbagh Singh: Urban Chhori Feat Elli Avram, Kauratan",New Hindi Song 2017,DilbaghSingh,BabaHoney,JayMeet
TUM HI AANA,UNPLUGGED  FEMALE VERSION,Jubinnautiyal,KunalVerma,PayalDev
Ek Haseena Thi Ek Deewana Tha,New Hindi Songs 2017,YaseerDesai,Nadeem,NadeemofNadeem
Chori Chori Dekhe Mujhko Remix   Hindi Film EMI,"Arjun Rampal, Malaika Arora","SunidhiChauhan,Suzan",ShakeelAzmi,ChirantanBhatt
Feel The Rhythm - Full Video Song,Munna Michael,Pranaayft.RahulPandey,"Pranaay,SabbirKhan",Pranaay
KHAIRIYAT (COVER SONG),Alok Singh,ArijitSingh,ShlokeLal,Pritam
Solo Laila (Lyrics) Ipsitaa,"Tanishk Bagchi, Vayu",Ipsitaa,Vayu,TanishkBagchi
Jiya Beqarar Hai,Barsaat,LataMangeshkar,HasratJaipuri,ShankarJaikishan
Woh Baarishein - Arjun Kanungo,"Manoj Muntashir,Shriya Pilgaonkar",ArjunKanungo,ManojMuntashir,ArjunKanungo
Fursat Hai Aaj Bhi (Official Video) - Arjun Kanungo,Sonal Chauhan,ArjunKanungo,MayurPuri,ArjunKanungo
Ghagra  Full Video - Latest Hindi Item Song,"Lokesh Garg, Ritu Pathak","LokeshGarg,RituPathak",RaviChopra,LokeshGarg
Banno (Full Song with Lyrics),Tanu Weds Manu Returns,BrijeshShandllya&SwatiSharma,Vayu,Tanishk&Vayu
Rabba Ve (Full Song) Armaan Bedil,"Gaurav Dev, Kartik Dev,Dhanshri Dev",ArmaanBedil,Dilwala,"GauravDev,KartikDev"
Kanta Bai Tony Kakkar (Official Video),Latest Hindi Song By Tony Kakkar,TonyKakkar,TonyKakkar,TonyKakkar
Sara Khan,Tattoo Boy,RadnyiTyagraj,Sparsh,JitulBoro&ShaileshSuvarna
Tum Jaisi Ho - Tony Kakkar,Happy Women's Day,TonyKakkar,TonyKakkar,TonyKakkar
Meghamamayee,Seetha (2011),|Lyrics,|Lyrics,|Lyrics
Jogan (Official Video) Ishq Bector,Gaurav Parashari,IshqBectorFtGauravparashari,SharadTripati,IshqBector
Fiqrana Remix  Hindi Blue,Akshaye Kumar,"VijayPrakash,ShreyaGhoshal",RajatArora,A.R.Rahman
SOHBAT,ZUBEEN GARG,ZubeenGarg&GurupriyaAtreya,Chinmoy,AparajithSris
Aitbaar New Hindi Full (Audio) Song,"Azam Ali Mukarram, Pallavi Lovlekar","AzamAliMukarram,PallaviLovlekar",RajeshKumari,AzamAliMukarram
"Tu Bhi Royega - Bhavin, Sameeksha, Vishal",Jyotica Tangri,JyoticaTangri,Kumaar,VivekKar
Naina - Neha Kakkar Version,Dangal,NehaKakkar,AmitabhBhattacharya,Pritam
Apsara Aali Full Song,Natarang HQ,"BelaShende,AjayAtul",GuruThakur,AjayAtul
Tere Bin Kive,Ramji Gulati,RamjiGulati,"Moody,Akkhar",RamjiGulati
Teri Mitti - Tribute,Akshay Kumar,BPraak,ManojMuntashir,Arko
Kamli,Nooran Sisters,NooranSisters,VijayDhammi,JassiNihaluwal
Ishq Meetha - Palak Muchhal,Anupama Raag,PalakMuchhal,AjayBawa,AnupamaRaag
Hor Pila - Jyotica Tangri,Nia Sharma,JyoticaTangri,Kumaar,RamjiGulati
Rabba Tere,Kamli,NooranSisters,VijayDhammi,JassiNihaluwal
Jab Jab - Rumman Shahrukh and Sanket Mehta,Yograj Koushal,YograjKoushal,SonalPradhan,SonalPradhan
Judaa - Asees Kaur Version,Ishqedarriyaan,ArijitSingh,Kumaar,JaidevKumar
Sun Le Zara 1921 Full Song (lyrics video),Zee Music Company,ArnabDutta,ArnabDutta,HarishSagane
Full HD video song,Mera Intezaar Karna,ArmaanMalik,Mithoon,Mithoon
Zoom Zoom - Full Video,Radhe - Your Most Wanted Bhai,Sajid,KunaalVermaa,SajidWajid
Meherma - Stefy and Sanket,"Jonita Gandhi, Shashwat Singh",DubbedAtSamiraKoppikar Studio DhwaniLab,Sahib,SamiraKoppikar
Ishq Kare Barbadiyaan,Ankit Tiwari,AnkitTiwari,Kumaar,VivekKar
Border - TrendSetter,Indeep Bakshi #IBDOPEHAI,IndeepBakshi&Ramangill,KiratGill&IndeepBakshi,IndeepBakshi
Farishta - Arko Feat Asees Kaur,Arjit Taneja and Karishma Kotak,Arko&AseesKaur,Arko,Arko
"Akhiyaan Tadpegi - Ashnoor Kaur , Mohit H",Aishwarya P,AishwaryaPandit,Kumaar,AnjjanBhattacharya
Phir Bhi Tumko Chaahungi - Aakanksha Version,Aakanksha Sharma,AakankshaSharma,ManojMuntashir,Mithoon
Zaalima,Raees,ArijitSinghandHarshdeepKaur,AmitabhBhattacharya,JAM8
Betuki Si,Zee Music Originals,JeetGannguli,AnvitaDutt,JeetGannguli
Khudara Aakar - Anuj Saini and Urvi Singh,Nayeem-Shabir,NayeemShah,ArafatMehmood,Nayeem
Yeh Mann - Jannat Zubair,Aakanksha Sharma,AakankshaSharma,DhanrajDadhich,KapilJangir
"Inna Pyaar - Rohan Mehra, Gima Ashi",Aishwarya Pandit,AishwaryaPandit,AmjadNadeem,AmjadNadeemAamir
Ishq Farzi - Jannat Zubair & Rohan Mehra,Ramji Gulati,JannatZubairRahmani,Kumaar,RamjiGulati
Bandeyaa Aakanksha Sharma,Specials by Zee Music Co.,AakankshaSharma,AmjadNadeem&SanjayGupta,AmjadNadeem
Ikk Kudi,Anusha Mani,AnushaMani,LateShriShivKumarBatalvi,AmitTrivedi
Tu Bhi Royega - Lyrical,"Bhavin, Sameeksha, Vishal",JyoticaTangri,Kumaar,VivekKar
Tere Sang Yaara,Souvik Ganguly,SouvikGanguly,ManojMuntashir,Arko
"Matlab - Bhavin B, Aliya H",Yasser Desai,YasserDesai,Kumaar,AnjjanBhattacharya
2 Seater Car - Kanika Kapoor Ft. Happy Singh,Vicky Sandhu,KanikaKapoor&HappySingh,VickySandhu,KanikaKapoor
"Bepanah Pyaar (Official Video) Payal Dev, Yasser Desai","Surbhi Chandna, Sharad Malhotra",PayalDev&YasserDesai,ShabbirAhmed&PayalDev,PayalDev
Kho Gaye Hum Kaha - but it s raining and you can t stopðŸŒ§ï¸(Harrlin Flip) Indian Lofi,Bollywood Lofi,"JasleenRoyal,PrateekKuhad",PrateekKuhad,JasleenRoyal
"Socha Na Tha - Nisha G, Amit S",Aishwarya Pandit,AishwaryaPandit,SonalPradhan,SonalPradhan
99 Songs - Nee Illa Naanum Video (Tamil),A.R. Rahman,Haricharan,Kabilan,A.R.Rahman
Ek Bewafaa - Full Song,Sameer Khan,SameerKhan,SameerAnjaan,Nadeem
Ve Maahi,Kesari,ArijitSingh&AseesKaur,TanishkBagchi,TanishkBagchi
Chunar - Disney s ABCD 2,Asees Kaur,ArijitSingh,MayurPuri,Sachin
99 Songs - Oor Aayiram Vaanavil Video (Tamil),A.R. Rahman,VijayYesudas,Vivek,A.R.Rahman
Paani Tera Rang,Tripti Dimri,JyoticaTangri,PawanKumar&AmjadNadeem,AmjadNadeemAamir
Darmiyaan,Yasser Desai and Sumedha Karmahe,YasserDesai&SumedhaKarmahe,YasserDesai&PiyushShankar,PiyushShankar
Ek Onkar,Guru Granth Sahib,AseesKaur,TraditionalLyrics,TraditionalComposition
Tu Jogawa Wadh Mai - Full Video,Fatteshikast,AdarshShinde,DigpalLanjekar,DevduttaManishaBaji
Tui chuli jakhon Bangla Cover Song samantaral,tui chunli jakhan,Pradip&Rittika,Dipangshu,Avik
Shake Karaan â€“ Full Video Song,Munna Michael,SuzanneD'Mello,Kumaar,MeetBros
Chaasni Si,"Yasser Desai , Sheena Bajaj",YasserDesai,VishalMishra,JeetGannguli
"Matlab - Lyrical, Bhavin B, Aliya H",Yasser Desai,YasserDesai,Kumaar,AnjjanBhattacharya
Kashi Mi Jau Mathurechya Bajari,Natarang HQ,"BelaShende,AjayGogavale andChorus",GuruThakur,AjayAtul
Bulleya,Rabbi Shergill,RabbiShergill&ShahidMallya,AshokPunjabi,SohailSen
Zhala Bobhata Bobhata - Title Track,Full Video,SarojBodhankar&PravinKunwar,MangeshKangane,AVPrafullchandra
Raajali - Official Video Song,2.0 [Tamil],"ArjunChandy,Blaaze,SidSriram",AbbasTyrewala|AmitabhBhattacharya,A.R.Rahman
Sher Aaya Sher,Gully Boy,RachelVarghese,DIVINE,ChandrashekarKunderakaMajorC
Tere Naal - Broken But Beautiful 3,"Sidharth Shukla, Sonia Rathee",AkhilSachdeva,AkhilSachdeva,AkhilSachdeva
Ikk Kudi -  Asees Kaur Version,Udta Punjab,AseesKaur,LateShriShivKumarBatalvi,AmitTrivedi
Beer Can - Official Music Video,AArish Singh and Angela Krislinzki,AArishSingh,RishiMalhi,AArishSingh
Phir Chala Song,Full Lyrics,Â JubinNautiyal,Â KunaalVermaa,Â PayalDev
Aadat Nahi Tum Bin,Jyotica Tangri,JyoticaTangri,LaadoSuwalka,RishabhSrivastava
Tu Kisi Rail Si(Cover) - Masaan,Ramanshu Mishra,SwanandKirkire,VarunGrover(BasedonaghazalbyDushyantKumar),IndianOcean
Zee TV,Aaj Likhenge Kal,ShreyaGhoshal,SrijanShukla,VishalBhardwaj
Yanthara Lokapu Sundarive (Video Song) - 2.0 [Telugu],Rajinikanth,"SidSriram,ShashaaTirupati",AbbasTyrewala|AmitabhBhattacharya,A.R.Rahman
New Hindi Bollywood song 2021,Jiss Waqt Tera Chehra,AmitMishraxu0026TarannumMalik,MoiedElhaam,Sagar
"Sona Lagda (Official Video) Sukriti, Prakriti, Sukhe",Bharatt-Saurabh,SukritiPrakriti&SukhE,Bharatt,Bharatt
Aashiqan Da Kaada,Kamli,NooranSisters,VijayDhammi,JassiNihaluwal
Endhira Logathu Sundariye (Video Song) - 2.0 [Tamil],Rajinikanth,"SidSriram,ShashaaTirupati",AbbasTyrewala|AmitabhBhattacharya,A.R.Rahman
Ae Pora,Bonus,PravinKuwar,ArvindMohite,RohanRohan
Ishq Tera Da,Kamli,NooranSisters,VijayDhammi,JassiNihaluwal
Phir Bhi Tumko Chaahungi Jyotica Version,Jyotica Tangri,JyoticaTangri,ManojMuntashir,Mithoon
Patola Lagdi ft. Jyotica Tangri,Kaptan Laadi and RDK,JyoticaTangri,KaptanLaadiandNoddy,KaptanLaadiandRDK
Vanava Petala  - Making,Ghuma,AjayGogavale,GuruThakur,"Hrishikesh,Saurabh&Jasraj"
Indian Pro Music League,Music Uncha Rahe Hamara,"VivekHariharan,Shaan,AkritiKakar,AnkitTiwari,PayalDev,JavedAli,BhoomiTrivedi,MikaSingh,AseesKaur,SajidKhan,NehaBhasin,KailashKher&ShilpaRao",AjeetShukla&ShrikantTrivedi,NaozadPatel
tere bina - Zaeden,ft. Amyra Dastur,Zaeden,Â,Zaeden
Duniya Matlab Di,Nooran Sisters,NooranSisters,VijayDhammi,JassiNihaluwal
Duniya Matlab Di,Nooran Sisters,NooranSisters,VijayDhammi,JassiNihaluwal
Sapna (Lyrics) - ARIJIT SINGH,MIX SOUND STUDIO,ArijitSingh,SachinSanghvi,Sachin
Kyun,Sushant (Rinkoo),Sushant(Rinkoo),Kumaar,Sushant
New Hindi Song Aanewale Kal - Hindi remake,1921,RahulJain,ShakeelAzmi,HarishSagane
Kalank Title Song by Radha Bhatia,#kalank #radhabhatiya #zeemusiccompany,ArijitSingh,AmitabhBhattacharya,Pritam
Arjit Singh : Rehna Tu Pal Pal Dil Ke Paas,"Sunny Deol , Karan Deol",ArijitSingh&ParamparaThakur,Siddharth,RajuSingh&RishiRich
Fan Ho Gaya - Official Music Video,Mahesh,Mahesh,InderGrewal,KRU172
Thoda Pyar Hua Tumse,Romentic Crush Love Story,StebinBen,Kumaar,NileshAhuja
Dolbywalya,Official Song,NageshMorwekar,Ajay,AjayAtul
ðŸŒ¹Kho Gaye Hum Kahan remix aesthetic songs,aesthetic video,KhoGayeHumKahanMusic,KhoGayeHumKahanMusic,KhoGayeHumKahanMusic
Kanha Soja Zara,Baahubali 2,Madhushree,ManojMuntashir,M.M.Kreem
Maana Dil - B Praak- Good Newwz,"Akshay, Kareena, Diljit, Kiara",BPraak,RashmiVirag,TanishkBagchi
Neendein Aaj Kal,Karishma S,SonalPradhan,RashmiVirag,JeetGannguli
Malang: Title Song Video,"Aditya Roy Kapur, Disha Patani, Anil K, Kunal K",VedSharma,KunaalVermaa&HaarshLimbachiyaa,VedSharma
Tera Chehra Official Video Song,Sanam Teri Kasam,ArijitSingh,ShabbirAhmed,HimeshReshammiya
The 2021 bridegoals dancing in her own engagement,Ghar more pardesiya,ShreyaGhoshalwithVaishaliMhade,PT.KiranMishra,Pritam
99 Songs - Sofia Video (Tamil),A.R. Rahman,SreekanthHariharan,Karky,A.R.Rahman
Bharat,Manikarnika,ArchitAgarwal,PrasoonJoshi,KabeerVerma
Karaar Premache,Makeup,NehaKakkar,TonyKakkar,TonyKakkar
Kuch Tum Kaho - Jannat Zubair,Jyotica Tangri,JyoticaTangri,RashmiVirag,RaghavSachar
Jothejotheyali,Title Song,"NinaadaNayak,NihalTauro&RajathHegde",Harshapriya,SunaadGowtham
Trigger - Official Music Video,Karan Sandhu,KaranSandhu,Gurnoor,RavinderSaini
Tu Hi Haqeeqat â™¥ï¸,Tum Mile,"JavedAli,IrshanAshraf&Shadab",SayeedQuadri,Pritam
Dill Mang Raha Hai Mohlat,Love Story Video,YasserDesai,ThisvideoismadejustforPromotional&non,SanjeevDarshan
Aashiq Tera (Official Song),Happy Bhag Jayegi,SohailSenFeaturingAltamashFaridi,MudassarAziz,SohailSen
Thoda Thoda Pyar Hua Tumse,New Korean Mix Hindi SongðŸ’• Korean Love Story,StebinBen,Kumaar,NileshAhuja
Chalke Re Full Video Song,Lingaa Song,AditiPaul&Srinivas,Gulzar,A.R.Rahman
Maths Mein Dabba Gul Official Video Song,Nil Battey Sannata,RohanUtpat&AartiShenai,NiteshTiwari,RohanVinayak
Seeti Maar,Radhe - Your Most Wanted Bhai,KamaalKhan&IuliaVantur,ShabbirAhmed,RockstarDSP(DeviSriPrasad)
Kisi Aur Naal - Asees Kaur,"Awez Darbar, Nagma Mirajkar","DeedarKaur,PrabhjeeKaur,GoldieSohel",GoldieSohel,GoldieSohel
Solo Brathuke So Better - Amrutha Lyric,Sai Tej,NakashAziz,KasarlaShyam,ThamanS
Dil De Diya - Full Video,Radhe,DilDeDiyaMovie,DilDeDiyaMovie,DilDeDiyaMovie
Morniyee,The Landers,Davi(TheLanders),KingRicky,TheKidd
Aa Baija Mere Kol - Sonal Pradhan,Aditya Dev,SonalPradhan,SonalPradhan,SonalPradhan
Shukran Allah,Teri Ore,FarhanSaeed&ShreyaGhoshal,Kumaar,FarhanSaeed
Vayu - Tohfa,Official Music Video,Vayu,Vayu,Vayu
LOL- Official Music Video,Ginny Weds Sunny,"PayalDev,DevNegi",KunaalVermaa,PayalDev
Lets Nacho - Kapoor & Sons,Sidharth,Badshah;BennyDayal,Kumaar;ChristopherPradeep,Nucleya;BennyDayal
Pal â€“ Jalebi,Arijit Singh,ArijitSingh&ShreyaGhoshal,PrashantIngole&KunaalVermaa,Javed
Manma Emotion Jaage - Dilwale,Varun Dhawan,"AmitMishra,AnushkaManchanda,AntaraMitra",AmitabhBhattacharya,Pritam
Enna Sona â€“ OK Jaanu,Shraddha Kapoor,ArijitSingh,Gulzar,A.R.Rahman
Suno Aisha Best Song - Aisha,Sonam Kapoor,"AmitTrivedi,NakashAziz&AshKing",JavedAkhtar,AmitTrivedi
Donâ€™t Be Shy Again - Bala,Ayushmann,"Badshah,ShalmaliKholgade,GurdeepMehendi&Sachin",Legha(Rouge),DR.ZEUS
Ae Dil Hai Mushkil - Full Song Video,Karan Johar,ArijitSingh,AmitabhBhattacharya,Pritam
Kamariya â€“ Mitron,Jackky Bhagnani,HardikPandya,Kumaar,LijoGeorge;DJChetas
Muskurane Video - Citylights,Arijit Singh,ArijitSingh,RashmiSingh,JeetGannguli
Full Video: Soni De Nakhre,Partner,"Wajid,LabhJajua,SnehaPant",ShabbirAhmed,"Sajid,Wajid"
Shayad - Love Aaj Kal,Kartik,ArijitSingh,IrshadKamil,Pritam
Punjabi Wedding Song Full Video - Hasee Toh Phasee,"Parineeti,Sidharth",SunidhiChauhan&BennyDayal,AmitabhBhattacharya,Vishal&Shekhar
Babli Badmaash Full Video - Shootout At Wadala,"Priyanka, John Abraham",SunidhiChauhan,Kumaar,AnuMalik
Haan Main Galat - Love Aaj Kal,"Kartik, Sara","AkashdeepSengupta,ShashwatSingh,NihalShetty,AshwinKulkarni&HarjotKaur",IrshadKamil,Pritam
